公司,財政年度,投資物業,物業、廠房、設備及其他,租賃土地,無形資產,聯營公司及共同控制公司權益,其他非流動資產,存貨,現金及銀行結存,其他流動資產,持作出售資產,其他流動負債,持作出售資產相關負債,流動資產淨值,資產總額減流動負債,股東資金,非控股權益,其他,承擔,或然負債
商湯集團股份有限公司,2023/12,0,7378707,349554,325675,135235,7758379,506128,9423495,7010851,0,3287308,0,13653166,29600716,23159420,3947,0,N/A,N/A
商湯集團股份有限公司,2022/12,0,6999010,315094,332887,54241,8201582,617110,7962813,12944256,0,3323004,0,18201175,34103989,28970224,43636,0,654990,0
商湯集團股份有限公司,2021/12,0,2909263,432164,224586,26930,5267159,496144,16529506,11058567,0,2795245,0,25288972,34149074,31892511,94573,0,1072850,0
商湯集團股份有限公司,2020/12,0,1906479,335948,108032,70325,4331787,715521,11427871,19582674,0,9822390,0,21903676,28656247,21068233,135693,0,520400,0
商湯集團股份有限公司,2019/12,0,1893919,404228,139749,59138,3219847,430059,6672914,11128193,0,6855803,0,11375363,17092244,10790146,135847,0,34686,0
