公司,財政年度,營業額/收益,銷售成本,毛利,投資物業公平值變動及減值,其他項目公平值變動及減值,出售項目溢利/(虧損),其他非經營項目,"分佔聯營公司及共同控制公司
業績",除稅前溢利/(虧損),稅項,已終止經營業務溢利/(虧損),非控股權益,其他項目,股東應佔溢利/(虧損),淨財務支出/(收入),折舊及攤銷,董事酬金,核數師意見
商湯集團股份有限公司,2023/12,3405842,1905055,1500787,N/A,1867356,N/A,N/A,20813,6504162,9492,N/A,54511,N/A,6440159,195316,1249924,N/A,無保留意見
商湯集團股份有限公司,2022/12,3808510,1266243,2542267,N/A,1674911,N/A,N/A,2357,6332812,239822,N/A,48194,N/A,6044796,205108,967685,12356,無保留意見
商湯集團股份有限公司,2021/12,4700263,1422625,3277638,N/A,14043145,N/A,N/A,40231,17141544,35506,N/A,36964,N/A,17140086,153958,657830,1213349,無保留意見
商湯集團股份有限公司,2020/12,3446165,1014081,2432084,N/A,11085623,N/A,N/A,6055,12319017,160670,N/A,154,N/A,12158193,62393,569652,680857,無保留意見
商湯集團股份有限公司,2019/12,3026603,1307439,1719164,N/A,3959663,N/A,N/A,3021,5172861,205169,N/A,5144,N/A,4962548,118185,377505,15903,無保留意見
