公司,財政年度,營業額/收益,銷售成本,毛利,投資物業公平值變動及減值,其他項目公平值變動及減值,出售項目溢利/(虧損),其他非經營項目,"分佔聯營公司及共同控制公司
業績",除稅前溢利/(虧損),稅項,已終止經營業務溢利/(虧損),其他項目,股東應佔溢利/(虧損),淨財務支出/(收入),折舊及攤銷,董事酬金,核數師意見,經營活動之現金流量,投資活動之現金流量,融資活動之現金流量,現金及等同現金之增加/(減少),期初之現金及現金等價物,匯率變動之影響,期末之現金及現金等價物,資產回報率,股東資金回報率,資本運用回報率,毛利率,未計利息、稅項、折舊及攤銷前利潤率,稅前邊際利潤率,純利率,流動比率,速動比率,總負債總資產比率,總負債股東資金比率,非流動負債股東資金比率,利息盈利率,存貨周轉率日數,投資物業,物業、廠房、設備及其他,租賃土地,無形資產,聯營公司及共同控制公司權益,其他非流動資產,存貨,現金及銀行結存,其他流動資產,持作出售資產,其他流動負債,持作出售資產相關負債,流動資產淨值,資產總額減流動負債,股東資金,非控股權益,其他,承擔,或然負債
商湯集團股份有限公司,2023/12,3405842,1905055,1500787,,1867356,,,20813,6504162,9492,,,6440159,195316,1249924,,無保留意見,3234260,3458373,1083583,1307696,7962813,152986,9423495,-18.318,-24.708,-21.757,44.065,-159.395,-190.971,-189.092,5.153,4.999,29.593,42.024,27.83,,60.188,0,7378707,349554,325675,135235,7758379,506128,9423495,7010851,0,3287308,0,13653166,29600716,23159420,3947,0,,
商湯集團股份有限公司,2022/12,3808510,1266243,2542267,,1674911,,,2357,6332812,239822,,,6044796,205108,967685,12356.0,無保留意見,3084483,9298217,3329143,9053557,16529506,486864,7962813,-16.256,-19.864,-17.725,66.752,-146.196,-166.281,-158.718,6.477,6.292,22.479,29.041,17.57,,53.346,0,6999010,315094,332887,54241,8201582,617110,7962813,12944256,0,3323004,0,18201175,34103989,28970224,43636,0,654990.0,0.0
商湯集團股份有限公司,2021/12,4700263,1422625,3277638,,14043145,,,40231,17141544,35506,,,17140086,153958,657830,1213349.0,無保留意見,2485441,1548074,9378482,5344967,11427871,243332,16529506,-45.451,-316.697,-50.192,69.733,-353.117,-364.693,-364.662,10.047,9.87,13.418,15.544,6.779,,47.046,0,2909263,432164,224586,26930,5267159,496144,16529506,11058567,0,2795245,0,25288972,34149074,31892511,94573,0,1072850.0,0.0
商湯集團股份有限公司,2020/12,3446165,1014081,2432084,,11085623,,,6055,12319017,160670,,,12158193,62393,569652,680857.0,無保留意見,1228813,7070472,13185642,4886357,6672914,131400,11427871,-38.952,,-42.428,70.574,-342.575,-357.47,-352.804,3.23,3.157,154.4,,,,60.667,0,1906479,335948,108032,70325,4331787,715521,11427871,19582674,0,9822390,0,21903676,28656247,21068233,135693,0,520400.0,0.0
商湯集團股份有限公司,2019/12,3026603,1307439,1719164,,3959663,,,3021,5172861,205169,,,4962548,118185,377505,15903.0,無保留意見,2869417,1627898,3772558,724757,7227109,170562,6672914,-24.269,,-29.034,56.802,-162.245,-170.913,-163.964,2.659,2.597,144.489,,,,33.004,0,1893919,404228,139749,59138,3219847,430059,6672914,11128193,0,6855803,0,11375363,17092244,10790146,135847,0,34686.0,0.0
