company,fiscal_year,Turnover/Revenue,cost_of_sales,gross_profit,Changes_in_fair_value_and_impairment_of_investment_properties,Changes_in_fair_value_and_impairment_of_other_items,Profit/(loss)_from_disposal_of_items,Other_non-operating_items,Profit/(loss)_before_tax,taxes,Profit/(loss)_from_discontinued_operations,other_projects,Profit/(loss)_attributable_to_shareholders,Net_financial_expenses/(income),Depreciation_and_amortization,Directors'_remuneration,Auditor's_opinion,Cash_flow_from_operating_activities,Cash_flows_from_investing_activities,Cash_flow_from_financing_activities,Increase/(decrease)_in_cash_and_cash_equivalents,Cash_and_cash_equivalents_at_the_beginning_of_the_period,Effect_of_exchange_rate_changes,Cash_and_cash_equivalents_at_the_end_of_the_period,return_on_assets,return_on_shareholders'_funds,return_on_capital_employed,Gross_profit_margin,Profit_margin_before,Margin_before_tax,net_interest_rate,current_ratio,quick_ratio,Total_debt_to_total_assets_ratio,Total_Debt_Shareholders_Funding_Ratio,Non-current_Liabilities_Shareholders_Funding_Ratio,Interest_Earnings_Rate,Inventory_turnover_rate_in_days,investment_property,"Property,_plant,_equipment_and_others",lease_land,intangible_assets,Interests_in_associated_companies,Other_non-current_assets,stock,Cash_and_bank_balances,Other_current_assets,assets_held_for_sale,Other_current_liabilities,Liabilities_related_to_assets_held_for_sale,net_current_assets,Total_assets_less_current_liabilities,shareholders_funds,non-controlling_interest,other,bear,Contingent_liabilities
"SenseTime_Group_Co.,_Ltd.",2023/12,3405842,1905055,1500787,,1867356,,,6504162,9492,,,6440159,195316,1249924,,unqualified opinion,3234260,3458373,1083583,1307696,7962813,152986,9423495,-18.318,-24.708,-21.757,44.065,-159.395,-190.971,-189.092,5.153,4.999,29.593,42.024,27.83,,60.188,0,7378707,349554,325675,135235,7758379,506128,9423495,7010851,0,3287308,0,13653166,29600716,23159420,3947,0,,
"SenseTime_Group_Co.,_Ltd.",2022/12,3808510,1266243,2542267,,1674911,,,6332812,239822,,,6044796,205108,967685,12356.0,unqualified opinion,3084483,9298217,3329143,9053557,16529506,486864,7962813,-16.256,-19.864,-17.725,66.752,-146.196,-166.281,-158.718,6.477,6.292,22.479,29.041,17.57,,53.346,0,6999010,315094,332887,54241,8201582,617110,7962813,12944256,0,3323004,0,18201175,34103989,28970224,43636,0,654990.0,0.0
"SenseTime_Group_Co.,_Ltd.",2021/12,4700263,1422625,3277638,,14043145,,,17141544,35506,,,17140086,153958,657830,1213349.0,unqualified opinion,2485441,1548074,9378482,5344967,11427871,243332,16529506,-45.451,-316.697,-50.192,69.733,-353.117,-364.693,-364.662,10.047,9.87,13.418,15.544,6.779,,47.046,0,2909263,432164,224586,26930,5267159,496144,16529506,11058567,0,2795245,0,25288972,34149074,31892511,94573,0,1072850.0,0.0
"SenseTime_Group_Co.,_Ltd.",2020/12,3446165,1014081,2432084,,11085623,,,12319017,160670,,,12158193,62393,569652,680857.0,unqualified opinion,1228813,7070472,13185642,4886357,6672914,131400,11427871,-38.952,,-42.428,70.574,-342.575,-357.47,-352.804,3.23,3.157,154.4,,,,60.667,0,1906479,335948,108032,70325,4331787,715521,11427871,19582674,0,9822390,0,21903676,28656247,21068233,135693,0,520400.0,0.0
"SenseTime_Group_Co.,_Ltd.",2019/12,3026603,1307439,1719164,,3959663,,,5172861,205169,,,4962548,118185,377505,15903.0,unqualified opinion,2869417,1627898,3772558,724757,7227109,170562,6672914,-24.269,,-29.034,56.802,-162.245,-170.913,-163.964,2.659,2.597,144.489,,,,33.004,0,1893919,404228,139749,59138,3219847,430059,6672914,11128193,0,6855803,0,11375363,17092244,10790146,135847,0,34686.0,0.0
