公司,財政年度,資產回報率,股東資金回報率,資本運用回報率,毛利率,未計利息、稅項、折舊及攤銷前利潤率,稅前邊際利潤率,純利率,流動比率,速動比率,總負債總資產比率,總負債股東資金比率,非流動負債股東資金比率,利息盈利率,存貨周轉率日數
商湯集團股份有限公司,2023/12,-18.318,-24.708,-21.757,44.065,-159.395,-190.971,-189.092,5.153,4.999,29.593,42.024,27.830,N/A,60.188
商湯集團股份有限公司,2022/12,-16.256,-19.864,-17.725,66.752,-146.196,-166.281,-158.718,6.477,6.292,22.479,29.041,17.570,N/A,53.346
商湯集團股份有限公司,2021/12,-45.451,-316.697,-50.192,69.733,-353.117,-364.693,-364.662,10.047,9.870,13.418,15.544,6.779,N/A,47.046
商湯集團股份有限公司,2020/12,-38.952,N/A,-42.428,70.574,-342.575,-357.470,-352.804,3.230,3.157,154.400,N/A,N/A,N/A,60.667
商湯集團股份有限公司,2019/12,-24.269,N/A,-29.034,56.802,-162.245,-170.913,-163.964,2.659,2.597,144.489,N/A,N/A,N/A,33.004
